,Title,Product_category
26122736,Identification of enhanced hydrogen and ethanol Escherichia coli producer strains in a glycerol-based medium by screening in single-knock out mutant collections.,['other biofuel']
26123542,Heterologous expression of flax PHOSPHOLIPID:DIACYLGLYCEROL CHOLINEPHOSPHOTRANSFERASE (PDCT) increases polyunsaturated fatty acid content in yeast and Arabidopsis seeds.,['fatty acid']
26124241,Deletion of nfnAB in Thermoanaerobacterium saccharolyticum and Its Effect on Metabolism.,['ethanol']
26129872,"Regulation of the NADH pool and NADH/NADPH ratio redistributes acetoin and 2,3-butanediol proportion in Bacillus subtilis.",['acetoin']
26129951,Engineering Yarrowia lipolytica for production of medium-chain fatty acids.,['fatty acid']
26130766,A facile method for controlling the reaction equilibrium of sphingolipid ceramide N-deacylase for lyso-glycosphingolipid production.,['lysoglycosphingolipid']
26133196,Metabolic Engineering of Synechocystis sp. PCC 6803 for Production of the Plant Diterpenoid Manoyl Oxide.,['forskolin']
26134455,Increased titer and reduced lactate accumulation in recombinant retrovirus production through the down-regulation of HIF1 and PDK.,['retrovirus']
26134562,Engineered and Native Coenzyme B12-dependent Isovaleryl-CoA/Pivalyl-CoA Mutase.,['specialty']
26135500,Production of long chain alcohols and alkanes upon coexpression of an acyl-ACP reductase and aldehyde-deformylating oxygenase with a bacterial type-I fatty acid synthase in E. coli.,['alcoholsalkane']
26138750,Substrate-Tuned Catalysis of the Radical S-Adenosyl-L-Methionine Enzyme NosL Involved in Nosiheptide Biosynthesis.,['nosiheptide']
26138876,Increased production of wax esters in transgenic tobacco plants by expression of a fatty acid reductase:wax synthase gene fusion.,['ester']
26141150,Metabolic engineering of Escherichia coli using CRISPR-Cas9 meditated genome editing.,['carotenoid']
26143210,Solvent resistance pumps of Pseudomonas putida S12: Applications in 1-naphthol production and biocatalyst engineering.,['naphthol']
26148486,Establishment of markerless gene deletion tools in thermophilic Bacillus smithii and construction of multiple mutant strains.,['subunit']
26148499,CrEdit: CRISPR mediated multi-loci gene integration in Saccharomyces cerevisiae.,['carotenoid']
26148515,Deoxycytidine production by a metabolically engineered Escherichia coli strain.,['deoxycytidine']
26150120,Inhibition of pathogenic and spoilage bacteria by a novel biofilm-forming Lactobacillus isolate: a potential host for the expression of heterologous proteins.,['adhesionsbiofilmmatrix']
26150243,Increased riboflavin production by manipulation of inosine 5'-monophosphate dehydrogenase in Ashbya gossypii.,['riboflavin']
26150486,Yeast homologous recombination-based promoter engineering for the activation of silent natural product biosynthetic gene clusters.,['generic']
26152364,Limitation of thiamine pyrophosphate supply to growing Escherichia coli switches metabolism to efficient D-lactate formation.,['lactate']
26153362,Engineering a branch of the UDP-precursor biosynthesis pathway enhances the production of capsular polysaccharide in Escherichia coli O5:K4:H4.,['o5:k4:h4']
26153503,Exploring medium-chain-length polyhydroxyalkanoates production in the engineered yeast Yarrowia lipolytica.,['PHB/PHA']
26156140,Cell periphery-related proteins as major genomic targets behind the adaptive evolution of an industrial Saccharomyces cerevisiae strain to combined heat and hydrolysate stress.,['ethanol']
26156241,Highly efficient biosynthesis of astaxanthin in Saccharomyces cerevisiae by integration and tuning of algal crtZ and bkt.,['carotenoid']
26156706,Redox engineering by ectopic expression of glutamate dehydrogenase genes links NADPH availability and NADH oxidation with cold growth in Saccharomyces cerevisiae.,['amino acid']
26157619,Enhancement of E. coli acyl-CoA synthetase FadD activity on medium chain fatty acids.,['antibiotic']
26159300,Mutation in galP improved fermentation of mixed sugars to succinate using engineered Escherichia coli AS1600a and AM1 mineral salts medium.,['succinate2']
26161077,Reconstruction and in silico analysis of an Actinoplanes sp. SE50/110 genome-scale metabolic model for acarbose production.,['acarbose']
26162629,Elimination of formate production in Clostridium thermocellum.,['formate']
26164646,Combinatorial metabolic engineering of Saccharomyces cerevisiae for terminal alkene production.,['alkene']
26165156,Modularity of RiPP Enzymes Enables Designed Synthesis of Decorated Peptides.,['peptide']
26166409,De novo production of the key branch point benzylisoquinoline alkaloid reticuline in yeast.,['benzylisoquinolinealkaloidreticuline']
26168783,A highly selective biosynthetic pathway to non-natural C50 carotenoids assembled from moderately selective enzymes.,"['c50astaxanthin', 'carotenoid']"
26170002,Consolidated bioprocessing of cellulose to isobutanol using Clostridium thermocellum.,['other biofuel']
26174759,Engineering the iron-oxidizing chemolithoautotroph Acidithiobacillus ferrooxidans for biochemical production.,['isobutyrate']
26175798,Butanol production in S. cerevisiae via a synthetic ABE pathway is enhanced by specific metabolic engineering and butanol resistance.,['butanol']
26189483,Production of adipic acid by the native-occurring pathway in Thermobifida fusca B6.,['adipate']
26189558,Overexpression of the methanol dehydrogenase gene mxaF in Methylobacterium sp. MB200 enhances L-serine production.,['amino acid']
26190959,Enzymatic Redox Cascade for One-Pot Synthesis of Uridine 5'-Diphosphate Xylose from Uridine 5'-Diphosphate Glucose.,['uridine5diphosphatexylose']
26192329,Construction of new synthetic biology tools for the control of gene expression in the cyanobacterium Synechococcus sp. strain PCC 7002.,['srna']
26192869,A Genome-Wide Scenario of Terpene Pathways in Self-pollinated Artemisia annua.,['terpene']
26193630,Enhanced production of 2'-fucosyllactose in engineered Escherichia coli BL21star(DE3) by modulation of lactose metabolism and fucosyltransferase.,['fucosyllactose']
26194190,Evolutionary engineering of a wine yeast strain revealed a key role of inositol and mannoprotein metabolism during low-temperature fermentation.,
26194559,Combining rational metabolic engineering and flux optimization strategies for efficient production of fumaric acid.,['fumarate2']
26197036,Efficient production of xylitol from hemicellulosic hydrolysate using engineered Escherichia coli.,['xylitol']
26198903,Metabolite profiling of CHO cells: Molecular reflections of bioprocessing effectiveness.,['protein']
26203301,Expression of a heat-stable NADPH-dependent alcohol dehydrogenase in Caldicellulosiruptor bescii results in furan aldehyde detoxification.,['other biofuel']
26203497,Synthetic Quorum Sensing and Cell-Cell Communication in Gram-Positive Bacillus megaterium.,['senderreceivercell']
26205521,Metabolic engineering of Escherichia coli for production of biodiesel from fatty alcohols and acetyl-CoA.,['other biofuel']
26206350,"Development of a Tightly Controlled Off Switch for Saccharomyces cerevisiae Regulated by Camphor, a Low-Cost Natural Product.",
26209663,Fine-Tuning of Photoautotrophic Protein Production by Combining Promoters and Neutral Sites in the Cyanobacterium Synechocystis sp. Strain PCC 6803.,['protein']
26210291,"Complete genome sequence of a malodorant-producing acetogen, Clostridium scatologenes ATCC 25775(T).",['other biofuel']
26211326,[Establishment of genetic transformation system of Schizochytrium sp. by homologous recombination].,['DHA']
26213570,Lipid production by the oleaginous yeast Yarrowia lipolytica using industrial by-products under different culture conditions.,['lipid']
26214239,Pterin-Dependent Mono-oxidation for the Microbial Synthesis of a Modified Monoterpene Indole Alkaloid.,['monoterpeneindolealkaloid']
26214707,Refactoring the Six-Gene Photosystem II Core in the Chloroplast of the Green Algae Chlamydomonas reinhardtii.,['other biofuel']
26215086,Metabolic network capacity of Escherichia coli for Krebs cycle-dependent proline hydroxylation.,['statu']
26216972,Reconstitution of TCA cycle with DAOCS to engineer Escherichia coli into an efficient whole cell catalyst of penicillin G.,['g7adca']
26216978,Orthologs of the archaeal isopentenyl phosphate kinase regulate terpenoid production in plants.,['lipid']
26218551,Identification of chondroitin-like molecules from biofilm isolates Exiguobacterium indicum A11 and Lysinibacillus sp. C13.,['chondroitinlikeclm']
26219673,Surveying the lipogenesis landscape in Yarrowia lipolytica through understanding the function of a Mga2p regulatory protein mutant.,['lipid']
26220550,Global transcriptome and gene regulation network for secondary metabolite biosynthesis of tea plant (Camellia sinensis).,['tea']
26221864,Engineering a novel biosynthetic pathway in Escherichia coli for production of renewable ethylene glycol.,['ethyleneglycol']
26223979,Production of mono- and sesquiterpenes in Camelina sativa oilseed.,['sesquiterpene']
26226562,"Efficient production of 2,3-butanediol in Saccharomyces cerevisiae by eliminating ethanol and glycerol production and redox rebalancing.",['butanediol']
26227414,Systematic analysis of intracellular mechanisms of propanol production in the engineered Thermobifida fusca B6 strain.,['other biofuel']
26236395,"Alleviation of carbon catabolite repression in Enterobacter aerogenes for efficient utilization of sugarcane molasses for 2,3-butanediol production.",['butanediol']
26236397,Model-driven intracellular redox status modulation for increasing isobutanol production in Escherichia coli.,['butanol']
26238998,Development of a markerless gene deletion system for Bacillus subtilis based on the mannose phosphoenolpyruvate-dependent phosphotransferase system.,['antibiotic']
26239069,Improvement of oxidized glutathione fermentation by thiol redox metabolism engineering in Saccharomyces cerevisiae.,['glutathionate1']
26239231,Efficient biosynthesis of rare natural product scopolamine using E. coli cells expressing a S14P/K97A mutant of hyoscyamine 6β-hydroxylase AaH6H.,['scopolamine']
26241189,Modular optimization of multi-gene pathways for fumarate production.,['fumarate2']
26244054,Development of cellobiose-degrading ability in Yarrowia lipolytica strain by overexpression of endogenous genes.,['lipid']
26246854,Quantitative proteomics analysis of an ethanol- and a lactate-producing mutant strain of Synechocystis sp. PCC6803.,['ethanol']
26248490,Co-overexpression of lmbW and metK led to increased lincomycin A production and decreased byproduct lincomycin B content in an industrial strain of Streptomyces lincolnensis.,['antibiotic']
26251777,"Genomic analysis reveals the biotechnological and industrial potential of levan producing halophilic extremophile, Halomonas smyrnensis AAD6T.",['pelpolyhydroxyalkanoate']
26253003,Adaptive mutations in sugar metabolism restore growth on glucose in a pyruvate decarboxylase negative yeast strain.,['pyruvate']
26253204,Rapid ethanol production at elevated temperatures by engineered thermotolerant Kluyveromyces marxianus via the NADP(H)-preferring xylose reductase-xylitol dehydrogenase pathway.,['ethanol']
26253677,Alcohol Selectivity in a Synthetic Thermophilic n-Butanol Pathway Is Driven by Biocatalytic and Thermostability Characteristics of Constituent Enzymes.,['butanol']
26253910,Activation of glycerol metabolic pathway by evolutionary engineering of Rhizopus oryzae to strengthen the fumaric acid biosynthesis from crude glycerol.,['fumarate2']
26254041,In silico model-driven cofactor engineering strategies for improving the overall NADP(H) turnover in microbial cell factories.,
26260005,Microbial production of lactic acid: the latest development.,['lactate']
26260768,"Metabolic engineering of Escherichia coli for the production of 1,3-diaminopropane, a three carbon diamine.",['diaminopropane']
26261321,Microfluidic screening and whole-genome sequencing identifies mutations associated with improved protein secretion by yeast.,['protein']
26264597,Modification of targets related to the Entner-Doudoroff/pentose phosphate pathway route for methyl-D-erythritol 4-phosphate-dependent carotenoid biosynthesis in Escherichia coli.,"['methylderythritol', 'carotenoid']"
26264710,Overexpression of artificially fused bifunctional enzyme 4CL1-CCR: a method for production of secreted 4-hydroxycinnamaldehydes in Escherichia coli.,['hydroxycinnamaldehyde']
26267112,Improved production of poly(lactic acid)-like polyester based on metabolite analysis to address the rate-limiting step.,"['polyestermacromolecule', 'polylacticacidlike']"
26267114,L-citrulline production by metabolically engineered Corynebacterium glutamicum from glucose and alternative carbon sources.,['citrulline']
26267115,Enhanced ethanol production and reduced glycerol formation in fps1∆ mutants of Saccharomyces cerevisiae engineered for improved redox balancing.,"['glycerol', 'ethanol']"
26269712,Expression of the Acidothermus cellulolyticus E1 endoglucanase in Caldicellulosiruptor bescii enhances its ability to deconstruct crystalline cellulose.,['glucosidase']
26269713,Combining free and aggregated cellulolytic systems in the cellulosome-producing bacterium Ruminiclostridium cellulolyticum.,['ltienzyme']
26271614,L-Methionine repressible promoters for tuneable gene expression in Trichoderma reesei.,['9268siderophore1192']
26272390,Removing chiral contamination of lactate solutions by selective metabolism of the D-enantiomer.,['plaplastic']
26273605,Expression of Heterologous Cellulases in Thermotoga sp. Strain RQ2.,['hydrogen']
26275527,"Enhanced production of (R,R)-2,3-butanediol by metabolically engineered Klebsiella oxytoca.",['butanediol']
26275528,Directed optimization of a newly identified squalene synthase from Mortierella alpine based on sequence truncation and site-directed mutagenesis.,['squalene']
26276113,"A New Class of Tungsten-Containing Oxidoreductase in Caldicellulosiruptor, a Genus of Plant Biomass-Degrading Thermophilic Bacteria.","['enzyme', 'tungstenrequiring']"
26276544,Production of carbon-13-labeled cadaverine by engineered Corynebacterium glutamicum using carbon-13-labeled methanol as co-substrate.,['cadaverine2']
26276561,"2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one (DIMBOA) inhibits trichothecene production by Fusarium graminearum through suppression of Tri6 expression.",['trichothecene']
26278506,Metabolic engineering of cyanobacteria for photosynthetic 3-hydroxypropionic acid production from CO2 using Synechococcus elongatus PCC 7942.,['3HP']
26279678,Cellobionic acid utilization: from Neurospora crassa to Saccharomyces cerevisiae.,['phosphogluconate']
26280214,Isobutanol production from an engineered Shewanella oneidensis MR-1.,['butanol']
26284760,Directed evolution of xylose specific transporters to facilitate glucose-xylose co-utilization.,['other biofuel']
26287972,Identification of the Mitochondrial Heme Metabolism Complex.,['hemeb']
26291944,Asymmetric assembly of aldose carbohydrates from formaldehyde and glycolaldehyde by tandem biocatalytic aldol reactions.,['glucopyranose']
26292030,Establishment of a yeast platform strain for production of p-coumaric acid through metabolic engineering of aromatic amino acid biosynthesis.,['coumarate']
26296537,"Enhanced 2,3-butanediol production from biodiesel-derived glycerol by engineering of cofactor regeneration and manipulating carbon flux in Bacillus amyloliquefaciens.",['butanediol']
26298016,Characterization of sophorolipid biosynthetic enzymes from Starmerella bombicola.,['sophorolipid']
26300047,Engineering a Lysine-ON Riboswitch for Metabolic Control of Lysine Production in Corynebacterium glutamicum.,['amino acid']
26302366,Alleviating product inhibition in cellulase enzyme Cel7A.,['cel7a']
26303342,Flexible metabolic pathway construction using modular and divisible selection gene regulators.,['other biofuel']
26306712,"Engineering catechol 1, 2-dioxygenase by design for improving the performance of the cis, cis-muconic acid synthetic pathway in Escherichia coli.",['ccma']
26312069,"Metabolic engineering of Bacillus subtilis for redistributing the carbon flux to 2,3-butanediol by manipulating NADH levels.",['nad']
26318028,Fatty alcohols production by oleaginous yeast.,['fattyalcohol']
26319319,Engineered strains of Streptococcus macedonicus towards an osmotic stress resistant phenotype retain their ability to produce the bacteriocin macedocin under hyperosmotic conditions.,['bacteriocin']
26320708,"Characterization of an acetoin reductase/2,3-butanediol dehydrogenase from Clostridium ljungdahlii DSM 13528.",['butanediol']
26323290,"Metabolic engineering of Pichia pastoris to produce ricinoleic acid, a hydroxy fatty acid of industrial importance.",['ricinoleate']
26329726,Mimicking a natural pathway for de novo biosynthesis: natural vanillin production from accessible carbon sources.,['vanillin']
26329849,Stability engineering of the Geobacillus stearothermophilus alcohol dehydrogenase and application for the synthesis of a polyamide 12 precursor.,['polyamide12precursor']
26332374,Flexible and Versatile Strategy for the Construction of Large Biochemical Pathways.,['carotenoid']
26334599,Metabolic engineering of Dunaliella salina for production of ketocarotenoids.,['carotenone']
26335036,Using promoter libraries to reduce metabolic burden due to plasmid-encoded proteins in recombinant Escherichia coli.,['dcw']
26337416,"Engineered synthesis of rosmarinic acid in Escherichia coli resulting production of a new intermediate, caffeoyl-phenyllactate.",['rosmarinate']
26339641,Heterologous Reconstitution of Omega-3 Polyunsaturated Fatty Acids in Arabidopsis.,"['docosapenacid', 'docosatetacid']"
26341212,Autoinduction Specificities of the Lantibiotics Subtilin and Nisin.,"['lantibiotic', 'nisin', 'antibiotic']"
26342337,Metabolic engineering of Klebsiella pneumoniae for the de novo production of 2-butanol as a potential biofuel.,['butanol']
26344106,De novo production of resveratrol from glucose or ethanol by engineered Saccharomyces cerevisiae.,['resveratrol']
26345617,Modular pathway rewiring of Saccharomyces cerevisiae enables high-level production of L-ornithine.,['ornithine']
26346938,Pathway optimization by re-design of untranslated regions for L-tyrosine production in Escherichia coli.,['amino acid']
26347006,Modular design of metabolic network for robust production of n-butanol from galactose-glucose mixtures.,['butanol']
26347730,Heterologous expression of Mus musculus immunoresponsive gene 1 (irg1) in Escherichia coli results in itaconate production.,['itaconate2']
26350079,Production of C4 and C5 branched-chain alcohols by engineered Escherichia. coli.,
26351111,Engineering overexpression of ORCA3 and strictosidine glucosidase in Catharanthus roseus hairy roots increases alkaloid production.,['alkaloid']
26355149,Enhancing diterpenoid concentration in Salvia miltiorrhiza hairy roots through pathway engineering with maize C1 transcription factor.,"['lipid', 'tanshiipp']"
26356484,Rational Control of Polyketide Extender Units by Structure-Based Engineering of a Crotonyl-CoA Carboxylase/Reductase in Antimycin Biosynthesis.,['crotonylcoacarboxylase/']
26358294,Dissection and engineering of the Escherichia coli formate hydrogenlyase complex.,['formate']
26359801,"Production of Long-Chain α,ω-Dicarboxylic Acids by Engineered Escherichia coli from Renewable Fatty Acids and Plant Oils.",['dicarboxylicacid']
26362413,Manipulating pyruvate to acetyl-CoA conversion in Escherichia coli for anaerobic succinate biosynthesis from glucose with the yield close to the stoichiometric maximum.,['acetylcoa']
26362984,Metabolic engineering of a novel muconic acid biosynthesis pathway via 4-hydroxybenzoic acid in Escherichia coli.,['muconate']
26363018,"Engineering of Corynebacterium glutamicum for growth and succinate production from levoglucosan, a pyrolytic sugar substrate.",['succinate2']
26364199,Development of engineered Escherichia coli whole-cell biocatalysts for high-level conversion of L-lysine into cadaverine.,['cadaverine2']
26364229,Enhanced production of recombinant Escherichia coli glutamate decarboxylase through optimization of induction strategy and addition of pyridoxine.,['enzyme']
26365585,Metabolic and process engineering of Clostridium cellulovorans for biofuel production from cellulose.,['other biofuel']
26368397,"Enhanced 2,3-Butanediol Production by Optimizing Fermentation Conditions and Engineering Klebsiella oxytoca M1 through Overexpression of Acetoin Reductase.",['butanediol']
26369437,Engineering the central biosynthetic and secondary metabolic pathways of Pseudomonas aeruginosa strain PA1201 to improve phenazine-1-carboxylic acid production.,['phenazine1carboxylate']
26369438,Elimination of metabolic pathways to all traditional fermentation products increases ethanol yields in Clostridium thermocellum.,"['acetate', 'lactate', 'formate']"
26369439,Engineering Methylobacterium extorquens for de novo synthesis of the sesquiterpenoid α-humulene from methanol.,['sesquiterpenoidalphahumulene']
26369666,The codon-optimized Δ(6)-desaturase gene of Pythium sp. as an empowering tool for engineering n3/n6 polyunsaturated fatty acid biosynthesis.,['fatty acid']
26369755,Transcriptomics-based strain optimization tool for designing secondary metabolite overproducing strains of Streptomyces coelicolor.,['tsot']
26369810,Engineering E. coli-E. coli cocultures for production of muconic acid from glycerol.,['muconate']
26369953,Growth-rate dependency of de novo resveratrol production in chemostat cultures of an engineered Saccharomyces cerevisiae strain.,['resveratrol']
26370386,Enhancing isobutyric acid production from engineered Acidithiobacillus ferrooxidans cells via media optimization.,['isobutyrate']
26370507,Regulation of EPS production in Lactobacillus casei LC2W through metabolic engineering.,['exopolysaccharide']
26376481,Ketocarotenoid Production in Soybean Seeds through Metabolic Engineering.,['ketocarotenoid']
26376732,Optimization of yeast-based production of medicinal protoberberine alkaloids.,['protoberberinealkaloid']
26376869,EasyClone 2.0: expanded toolkit of integrative vectors for stable gene expression in industrial Saccharomyces cerevisiae strains.,['ethanol']
26377186,De novo production of six key grape aroma monoterpenes by a geraniol synthase-engineered S. cerevisiae wine strain.,['grape']
26377568,Metabolic engineering of Escherichia coli into a versatile glycosylation platform: production of bio-active quercetin glycosides.,['quercetinglycoside']
26377681,Three-pathway combination for glutathione biosynthesis in Saccharomyces cerevisiae.,['glutathionate1']
26377817,An R2R3-MYB transcription factor regulates carotenoid pigmentation in Mimulus lewisii flowers.,['carotenoid']
26378013,"In situ immobilized lipase on the surface of intracellular polyhydroxybutyrate granules: preparation, characterization, and its promising use for the synthesis of fatty acid alkyl esters.","['ester', 'fatty acid']"
26379632,Overproduction of the membrane-bound [NiFe]-hydrogenase in Thermococcus kodakarensis and its effect on hydrogen production.,['membraneboundnifehydrogenase']
26379770,Physiological roles of pyruvate ferredoxin oxidoreductase and pyruvate formate-lyase in Thermoanaerobacterium saccharolyticum JW/SL-YS485.,['ethanol']
26379774,Increasing proline and myo-inositol improves tolerance of Saccharomyces cerevisiae to the mixture of multiple lignocellulose-derived inhibitors.,['ethanol']
26379775,"Metabolic engineering of Escherichia coli for production of (2S,3S)-butane-2,3-diol from glucose.",['bdmeso23bd']
26379776,A metabolomics-based strategy for identification of gene targets for phenotype improvement and its application to 1-butanol tolerance in Saccharomyces cerevisiae.,['alcohol']
26379778,"High production of 2,3-butanediol from biodiesel-derived crude glycerol by metabolically engineered Klebsiella oxytoca M1.",['butanediol']
26379779,Engineering Yarrowia lipolytica to produce biodiesel from raw starch.,['other biofuel']
26380410,[Succinic acid production from sucrose and sugarcane molasses by metabolically engineered Escherichia coli].,['succinate2']
26383129,Screening and Engineering the Synthetic Potential of Carboxylating Reductases from Central Metabolism and Polyketide Biosynthesis.,['polyketide']
26384341,Metabolic engineering of the mixed-acid fermentation pathway of Escherichia coli for anaerobic production of glutamate and itaconate.,"['amino acid', 'itaconate2']"
26384570,Introduction of a bacterial acetyl-CoA synthesis pathway improves lactic acid production in Saccharomyces cerevisiae.,['lactate']
26384571,Metabolic engineering of Yarrowia lipolytica for itaconic acid production.,['itaconate2']
26385696,Modulation of FadR binding capacity for acyl-CoA fatty acids through structure-guided mutagenesis.,['other biofuel']
26385762,Metabolic engineering of Bacillus subtilis to enhance the production of tetramethylpyrazine.,['tetramethylpyrazine']
26386051,Increasing anaerobic acetate consumption and ethanol yields in Saccharomyces cerevisiae with NADPH-specific alcohol dehydrogenase.,['glycerol']
26388428,Disrupted short chain specific β-oxidation and improved synthase expression increase synthesis of short chain fatty acids in Saccharomyces cerevisiae.,['fatty acid']
26388935,"QuickStep-Cloning: a sequence-independent, ligation-free method for rapid construction of recombinant plasmids.",['plasmid']
26392034,Reconstruction and analysis of a genome-scale metabolic network of Corynebacterium glutamicum S9114.,['amino acid']
26392137,Production of protocatechuic acid by Corynebacterium glutamicum expressing chorismate-pyruvate lyase from Escherichia coli.,['protocatechuate']
26392265,"Catabolism of coniferyl aldehyde, ferulic acid and p-coumaric acid by Saccharomyces cerevisiae yields less toxic products.",['phenolic']
26392384,Metabolic engineering of the Stevia rebaudiana ent-kaurene biosynthetic pathway in recombinant Escherichia coli.,['entin']
26393954,"Modular pathway engineering of Corynebacterium glutamicum for production of the glutamate-derived compounds ornithine, proline, putrescine, citrulline, and arginine.",['amino acid']
26393961,"Identification and characterization of a novel 2,3-butanediol dehydrogenase/acetoin reductase from Corynebacterium crenatum SYPA5-5.","['butanediol', 'acetoin']"
26394222,Metabolic Characteristics of a Glucose-Utilizing Shewanella oneidensis Strain Grown under Electrode-Respiring Conditions.,['lactate']
26400541,Designed biosynthesis of 25-methyl and 25-ethyl ivermectin with enhanced insecticidal activity by domain swap of avermectin polyketide synthase.,['antibiotic']
26404833,Conversion of alcohols to enantiopure amines through dual-enzyme hydrogen-borrowing cascades.,['amine']
26409776,Engineering Biosynthesis Mechanisms for Diversifying Polyhydroxyalkanoates.,
26410449,Improved poly-γ-glutamic acid production in Bacillus amyloliquefaciens by modular pathway engineering.,['polygammaglutamate']
26410451,Engineering of methionine chain elongation part of glucoraphanin pathway in E. coli.,['glucoraphanin1']
26412334,Structural Basis for Specificity and Flexibility in a Plant 4-Coumarate:CoA Ligase.,['entheogenicmethylenedioxymethamphetaminegimeno']
26413158,"Insight into metabolic pathways of the potential biofuel producer, Paenibacillus polymyxa ICGEB2008.",['hydrolyticenzyme']
26413160,Generation of random mutants to improve light-use efficiency of Nannochloropsis gaditana cultures for biofuel production.,['other biofuel']
26413161,Combined cell-surface display- and secretion-based strategies for production of cellulosic ethanol with Saccharomyces cerevisiae.,['ethanol']
26416399,Simulation and prediction of protein production in fed-batch E. coli cultures: An engineering approach.,['protein']
26416585,Engineering of high yield production of L-serine in Escherichia coli.,['amino acid']
26428232,"Constructing a synthetic constitutive metabolic pathway in Escherichia coli for (R, R)-2,3-butanediol production.",['butanediol']
26428449,"Lysate of engineered Escherichia coli supports high-level conversion of glucose to 2,3-butanediol.",['butanediol']
26431967,Improvement of glucose uptake rate and production of target chemicals by overexpressing hexose transporters and transcriptional activator Gcr1 in Saccharomyces cerevisiae.,['ethanol']
26431970,Multiplexed integrating plasmids for engineering of the erythromycin gene cluster for expression in Streptomyces spp. and combinatorial biosynthesis.,['aglycone6deb']
26432460,Production of the polyketide 6-deoxyerythronolide B in the heterologous host Bacillus subtilis.,['polyketide6deoxyerythronolide']
26433966,Substrate preference of citrus naringenin rhamnosyltransferases and their application to flavonoid glycoside production in fission yeast.,['glycoside']
26433970,Enhanced D-lactic acid production from renewable resources using engineered Lactobacillus plantarum.,['lactate']
26436873,De Novo Biosynthesis of β-Valienamine in Engineered Streptomyces hygroscopicus 5008.,['valienamine']
26439318,Metabolic engineering of a laboratory-evolved Thermobifida fusca muC strain for malic acid production on cellulose and minimal treated lignocellulosic biomass.,['malate2']
26441028,Simultaneous conversion of glucose and xylose to 3-hydroxypropionic acid in engineered Escherichia coli by modulation of sugar transport and glycerol synthesis.,['3HP']
26442756,An integrative Raman microscopy-based workflow for rapid in situ analysis of microalgal lipid bodies.,['other biofuel']
26442761,Cellulosic ethanol production via consolidated bioprocessing at 75 °C by engineered Caldicellulosiruptor bescii.,['ethanol']
26444867,Comparative fluxome and metabolome analysis for overproduction of succinate in Escherichia coli.,['succinate2']
26448785,Engineering improved bio-jet fuel tolerance in Escherichia coli using a transgenic library from the hydrocarbon-degrader Marinobacter aquaeolei.,
26450510,Comparative proteomic analysis of engineered Saccharomyces cerevisiae with enhanced free fatty acid accumulation.,['glycerol']
26450561,Engineering of genetic control tools in Synechocystis sp. PCC 6803 using rational design techniques.,['psca32']
26452180,Systematic strain construction and process development: Xylitol production by Saccharomyces cerevisiae expressing Candida tenuis xylose reductase in wild-type or mutant form.,['xylitol']
26452465,Construction of cellulose-utilizing Escherichia coli based on a secretable cellulase.,['celluloseenzyme']
26453031,Efficient L-Alanine Production by a Thermo-Regulated Switch in Escherichia coli.,['amino acid']
26453466,5-Aminolevulinic acid production in engineered Corynebacterium glutamicum via C5 biosynthesis pathway.,
26453475,Heterologous coexpression of Vitreoscilla hemoglobin and Bacillus megaterium glucanase in Streptomyces lydicus A02 enhanced its production of antifungal metabolites.,['antifungalagent']
26453568,Molecular adaptation of Lactobacillus plantarum WCFS1 to gallic acid revealed by genome-scale transcriptomic signature and physiological analysis.,['ga']
26453945,Biosensor-driven adaptive laboratory evolution of l-valine production in Corynebacterium glutamicum.,['amino acid']
26454367,High titer L-lactic acid production from corn stover with minimum wastewater generation and techno-economic evaluation based on Aspen plus modeling.,['lactate']
26454865,"Synthetic operon for (R,R)-2,3-butanediol production in Bacillus subtilis and Escherichia coli.",['butanediol']
26454866,"Fermentative production of enantiomerically pure S-1,2-propanediol from glucose by engineered E. coli strain.",['other biofuel']
26459862,Cyanobacterial Alkanes Modulate Photosynthetic Cyclic Electron Flow to Assist Growth under Cold Stress.,['hydrocarbon']
26460058,Assessment of bacterial acyltransferases for an efficient lipid production in metabolically engineered strains of E. coli.,['lipid']
26461930,Engineering Saccharomyces cerevisiae to produce odd chain-length fatty alcohols.,['oddchainlengthfattyalcohol']
26463041,Bacterial synthesis of N-hydroxycinnamoyl phenethylamines and tyramines.,"['phenethylamine', 'tyraminium']"
26463172,Metabolic engineering of riboflavin production in Ashbya gossypii through pathway optimization.,['riboflavin']
26464582,Enhanced direct fermentation of cassava to butanol by Clostridium species strain BOH3 in cofactor-mediated medium.,['butanol']
26465746,Metabolic Engineering of Klebsiella pneumoniae for the Production of 2-Butanone from Glucose.,['butan2one']
26467715,Metabolic engineering of Pichia pastoris for the production of dammarenediol-II.,['other biofuel']
26470683,Dual utilization of NADPH and NADH cofactors enhances xylitol production in engineered Saccharomyces cerevisiae.,['nadhxylitol']
26474754,Genetic and nutrient modulation of acetyl-CoA levels in Synechocystis for n-butanol production.,['butanol']
26474789,Metabolic engineering of Synechococcus sp. PCC 7002 to produce poly-3-hydroxybutyrate and poly-3-hydroxybutyrate-co-4-hydroxybutyrate.,['PHB/PHA']
26475113,Metabolic Impact of Redox Cofactor Perturbations on the Formation of Aroma Compounds in Saccharomyces cerevisiae.,"['other biofuel', 'methionol']"
